width,height,original_size,brightness,contrast,color_variance,edge_density,entropy,recommended_quality
800,600,3138,113.04823541666667,51.084370575495775,3910.5295369964692,0.0182875,2.73102075985083,95
800,600,3211,129.01336041666667,38.009431431544286,7387.677544838765,0.018002083333333332,2.8372431362683708,95
800,600,3070,100.2368375,37.31063995473579,6691.675160077148,0.013070833333333334,1.9883965876919871,85
800,600,8575,117.46587083333333,52.63264285149774,6372.209586535644,0.03028125,3.8452278654027277,95
800,600,1442626,127.48365416666667,49.44334994361796,5472.470507015276,0.47769375,7.633458018208659,95
800,600,14097,96.06396458333333,2.647033361220128,1318.0052910223594,0.00929375,0.036763589704874436,35
800,600,1442628,127.50974375,49.39773410011843,5465.381380948761,0.47739166666666666,7.631826418242467,95
800,600,1442621,127.57316875,49.42270969740554,5466.807185145918,0.47799375,7.632888933408314,95
800,600,13573,121.01095416666666,2.2783850288232608,3024.0806370118034,0.0112375,0.03682871448812317,75
800,600,2932,143.5254125,30.05769639440416,1952.6280035677778,0.013804166666666666,1.5968837181810667,40
800,600,3090,98.71826041666667,44.771585202639216,4173.45991312875,0.014125,2.388215901446217,80
800,600,2960,120.78017916666667,38.88595815074167,5842.5676136524,0.015577083333333333,1.7782177438965905,55
800,600,8196,125.63812708333333,40.62059324910027,7109.708099364064,0.02605,3.1814436798529857,95
800,600,14230,92.07018958333333,2.730219863989863,555.8790803754971,0.008885416666666666,0.036593501049134454,30
800,600,9243,136.05524583333334,40.00097058694825,5593.455703535934,0.0330625,4.335194368977835,95
800,600,3142,110.41569583333333,42.97045687028258,4013.431305510178,0.014520833333333334,2.504136892809383,85
800,600,1442628,127.58128333333333,49.43925773633461,5459.414486600586,0.4783875,7.633526329094337,95
800,600,13815,141.96689375,2.2905052702138895,3733.929387951341,0.012904166666666666,0.036799708413490284,65
800,600,3102,147.21493333333333,60.181563998693896,7577.776358639427,0.017729166666666667,2.937029325448392,95
800,600,9551,109.23209166666666,52.69284205934993,5051.466817152153,0.03664791666666667,3.9816423205692697,95
800,600,3082,110.67356041666666,76.42622729435513,7646.722802866637,0.019054166666666667,2.647977461525823,95
800,600,2986,105.38725833333334,40.18163549413169,7835.671454105552,0.01495625,2.3846950580084134,95
800,600,3111,139.05298541666667,46.522891977630614,6521.636626774692,0.019266666666666668,2.528453377520502,95
800,600,8309,133.04613958333334,40.49214417499831,4190.623329916618,0.032975,3.9547476717390477,95
800,600,5409,149.49810416666668,43.737808545991605,4585.4444612229,0.025483333333333334,3.1974829125260475,95
800,600,14453,139.97518125,2.3229755228259377,1102.6347391504817,0.012702083333333333,0.0368422086761785,30
800,600,7149,144.33214791666666,43.88955894072591,7304.09225616192,0.026314583333333332,2.7862595206229708,95
800,600,13491,183.87948333333333,3.439120027912502,4294.031702085937,0.01753125,0.03675238806227569,80
800,600,1442631,127.55341041666667,49.342393214767405,5450.847629867267,0.47733333333333333,7.631025233043719,95
800,600,9608,121.63022083333334,42.07743042140168,5706.032294669926,0.034172916666666664,4.1006795049983635,95
800,600,3116,153.42962916666667,73.04811546471144,7148.530300663402,0.01755625,2.31089937291431,85
800,600,3027,122.91534166666666,44.45308176943338,4542.68388401378,0.01665,2.3142680082549103,75
800,600,10116,120.07406458333334,47.182192702199586,6849.005136742245,0.03271458333333333,3.7871203154465087,95
800,600,3115,131.48322708333333,43.77290869174601,5963.042026792129,0.017060416666666668,2.571442047428395,85
800,600,1442624,127.57781458333334,49.412125231471485,5470.146716038849,0.4787854166666667,7.631906380284574,95
800,600,13789,79.09751458333334,3.1211004452549522,989.1058612949824,0.00860625,0.036986321807144444,35
800,600,14392,133.98781666666667,2.2022709641917864,1757.1771918470654,0.011864583333333333,0.036498957013158084,30
800,600,2982,98.57301041666666,48.21892326821209,4679.373831190122,0.014839583333333333,1.9688556587226067,95
800,600,1442625,127.4872375,49.45186110031917,5461.165350472685,0.47708958333333334,7.63334903130486,95
800,600,10770,136.39883125,44.64205517092625,5497.609310951729,0.035875,4.2335967051473,95
800,600,7986,119.024575,47.98046269301747,5153.37124153972,0.030166666666666668,4.103499432977306,95
800,600,3056,109.051825,65.15050388013925,8691.862686307377,0.014439583333333334,2.155822771369216,95
800,600,6988,137.40175416666668,54.50049030595565,4647.488311183946,0.02745,3.3921934439321415,95
800,600,9396,127.33879166666667,50.21071921784495,5168.513206476266,0.035083333333333334,4.1125522614296,95
800,600,1442627,127.5823125,49.42610409812825,5461.929177789822,0.47795625,7.632178083759704,95
